,,,,,,All mature & old growth,,,Most likely habitat,,,Highest realistic densities,,
study_area,station_burger,station_popov,n_years_surveyed,mamu_count,watershed_area_ha,habitat_measure_a,habitat_ha_a,density_a,habitat_measure_b,habitat_ha_b,density_b,habitat_measure_c,habitat_ha_c,density_c
NW Vancouver Island,Oukinish,,2,160,3824,1,3151,0.051,2,2336,0.068,2,2336,0.068
Sunshine Coast,Paradise (Bute area),,1,129,9007,1,2474,0.052,3,1943,0.066,3,1943,0.066
NW Vancouver Island,Port Eliza,,1,28,2573,1,1884,0.015,2,1538,0.018,2,1538,0.018
Sunshine Coast,Powell-Daniels (Toba area),,1,99,35745,1,3929,0.025,3,4744,0.021,3,4744,0.021
NW Vancouver Island,Power,Power,2,454,5504,1,4689,0.097,2,3447,0.132,2,3447,0.132
Clayoquot Sound,Pretty Girl,,2,260,3540,1,3362,0.077,2,2706,0.096,2,2706,0.096
Sunshine Coast,Quatam (Toba area),Quatam,2,200,15814,1,5088,0.039,3,4138,0.048,3,4138,0.048
Sunshine Coast,Rainy (Howe area) **,Rainy River,1,7,6830,1,2590,0.003,3,2135,0.003,3,2135,0.003
Central Coast,Sim,,1,31,30405,5,5174,0.006,4,321,0.097,6,209,0.148
Central Coast,Skowquiltz,Skowquiltz,1,92,27296,5,0,,4,3248,0.028,6,0,
Sunshine Coast,Skwakwa (Jervis area),Skwawka,1,155,20144,1,3939,0.039,3,3189,0.049,3,3189,0.049
Sunshine Coast,Southgate (Bute area),Southgate,1,95,79871,1,12500,0.008,3,8266,0.011,3,8266,0.011
NW Vancouver Island,Sucwoa,Sucwoa R./Canton Ck,1,23,4448,1,2277,0.01,2,847,0.027,2,847,0.027
Clayoquot Sound,Sydney,,2,225,5591,1,5517,0.041,2,3985,0.056,2,3985,0.056
NW Vancouver Island,Tahsis,Tahsis,2,271,7461,1,4866,0.056,2,2189,0.124,2,2189,0.124
NW Vancouver Island,Tahsish,Tahsish Inlet,2,442,23887,1,16239,0.027,2,8009,0.055,2,8009,0.055
Sunshine Coast,Tahumming (Toba area),,2,34,25571,1,3526,0.01,3,2408,0.014,3,2408,0.014
Sunshine Coast,Teaquahan (Bute area),,1,31,15548,1,2175,0.014,3,1611,0.019,3,1611,0.019
NW Vancouver Island,Tlupana/Kleptee,,2,236,15667,1,13354,0.018,2,6844,0.034,2,6844,0.034
Sunshine Coast,Toba (Toba area),Toba,2,325.5,177184,1,26095,0.012,3,19342,0.017,3,19342,0.017
Clayoquot Sound,Tofino Cr + 0.5 upper Kennedy,,3,213,6454,1,5232,0.041,2,2624,0.081,2,2624,0.081
North Coast,Toon_River_Estuary,Toon River,1,99,13104,1,3715,0.027,7,3122,0.032,4,1853,0.053
Clayoquot Sound,Tranquil,,2,268,5870,1,4358,0.061,2,1977,0.135,2,1977,0.135
North Coast,Triumph_River,,1,22,8609,1,2883,0.008,7,2118,0.01,4,1348,0.016
Sunshine Coast,Tzoonie (Jervis area),,2,38.5,16914,1,4047,0.01,3,3117,0.012,3,3117,0.012
North Coast,Union_Inlet,,1,29,6738,1,2725,0.011,7,2003,0.014,4,914,0.032
North Coast,Unknown_1,,1,19,1223,1,404,0.047,7,380,0.05,4,228,0.084
North Coast,Unknown_5,,1,13,2568,1,1282,0.01,7,1095,0.012,4,619,0.021
Clayoquot Sound,Ursus,,3,331,7348,1,6367,0.052,2,3032,0.109,2,3032,0.109
Sunshine Coast,Vancouver (Jervis area),Vancouver,1,143,19638,1,7591,0.019,3,5960,0.024,3,5960,0.024
Central Coast,Wakeman,Wakeman,1,250,68919,5,26518,0.009,4,15330,0.016,6,10173,0.025
Central Coast,Wannock,Wannock,1,169,85018,5,25081,0.007,4,20028,0.008,6,14387,0.012
Clayoquot Sound,Watta (includes East Megin),Watta,3,650,17341,1,14951,0.043,2,7870,0.083,2,7870,0.083
Clayoquot Sound,Watta South,,2,45,1394,1,1394,0.032,2,689,0.065,2,689,0.065
NW Vancouver Island,Zeballos,Zeballos,2,204,19499,1,12373,0.016,2,4178,0.049,2,4178,0.049
